"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"PUB016","Italy","Pubblicazioni","Libretti paziente","Concentratore NewLife ""Elite"" Airsep: manuale d'uso","Concentratore NewLife ""Elite"" Airsep: manuale d'uso",1,"0.25","Concentratore-NewLife_Elite_-Airsep--manuale-d'uso.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB017","Italy","Pubblicazioni","Libretti paziente","Per vivere meglio in ossigeno","Per vivere meglio in ossigeno",1,"0.00","Per-vivere-meglio-in-ossigeno.jpg","FALSO","FALSO","DIEV","N010","FALSO","FALSO"
"PUB018","Italy","Pubblicazioni","Libretti paziente","Liberator/Low loss: istruzioni di funzionamento per il paziente","Liberator/Low loss: istruzioni per il paziente",1,"0.40","Liberator_Low-loss-istruzioni-di-funzionamento-per-il-paziente.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB019","Italy","Pubblicazioni","Libretti paziente","Stroller/Sprint: istruzioni di funzionamento per il paziente","Stroller/Sprint: istruzioni per il paziente",1,"0.40","Stroller_Sprint--istruzioni-di-funzionamento-per-il-paziente.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB020","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. TE - 06/2005: Modulo continuo per terminalino Efeso (cod. ICO/8115/TE)","cod. ICO/8115/TE",,"0.14",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB021","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. NC - 06/2005: Nota di consegna in blocco da 50 fogli (cod. ICO/832/NC)","cod. ICO/832/NC",,"3.40",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB022","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. F - 06/2005: Documento di trasporto F in blocco da 50 fogli (cod. ICO/832/F)","cod. ICO/832/F",,"3.90",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB023","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. D - 11/2005: Documento di trasporto/fattura continuo (cod. ICO/1224/D)","cod. ICO/1224/D",,"0.23",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB024","Italy","Documenti di trasporto","Doc trasporto ICOA","Mod. EL - 06/2005: Documento di accompagnamento in tentata vendita per liquidi in blocco da 50 fogli (cod. ICO/821/EL)","cod. ICO/821/EL",,"4.40",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB025","Italy","Documenti di trasporto","Doc trasp SOL","Mod. TE - 06/2005: Modulo continuo per terminalino Efeso (cod. SOL/8115/TE)","cod. SOL/8115/TE",,"0.14",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB026","Italy","Documenti di trasporto","Doc trasp SOL","Mod. NC - 06/2005: Nota di consegna in blocco da 50 fogli (cod. SOL/832/NC)","cod. SOL/832/NC",,"3.40",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB027","Italy","Documenti di trasporto","Doc trasp SOL","Mod. F - 06/2005: Documento di trasporto F (cod. SOL/832/F)","cod. SOL/832/F",50,"3.90",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB028","Italy","Documenti di trasporto","Doc trasp SOL","Mod. D - 11/2005: Documento di trasporto/fattura continuo (cod. SOL/1224/D)","cod. SOL/1224/D",,"0.23",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB029","Italy","Documenti di trasporto","Doc trasp SOL","Mod. EL - 06/2005: Documento di accompagnamento in tentata vendita per liquidi (cod. SOL/821/EL)","cod. SOL/821/EL",50,"4.40",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB030","Italy","Documenti di trasporto","Doc trasp SOL","Mod. EC - 06/2005: Documento di accompagnamento in tentata vendita per compressi (cod. SOL/923/EC)","cod. SOL/923/EC",50,"5.50",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB031","Italy","Documenti di trasporto","Doc trasp SOL","Mod. PVC - 06/2005: Programma di viaggio per compressi (cod. SOL/825/PVC)","cod. SOL/825/PVC",50,"3.15",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB032","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. NC - 06/2005: Nota di consegna (cod. VCA/832/NC)","cod. VCA/832/NC",50,"4.25",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB033","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. PVC - 06/2005: Programma di viaggio (cod. VCA/825/PVC)","cod. VCA/825/PVC",50,"3.70",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB034","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. D - 11/2005: Documento di trasporto/fattura (cod. VCA/1224/D)","cod. VCA/1224/D",1,"0.06",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB035","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. A - 06/2005: Documento di trasporto A (cod. VCA/832/A)","cod. VCA/832/A",50,"4.50",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB036","Italy","Documenti di trasporto","Doc trasp ViviSol Cal","Mod. G - 06/2005: Scheda accompagnatoria per tentata vendita (cod. VCA/825/G)","cod. VCA/825/G",50,"3.40",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB037","Italy","Documenti di trasporto","Doc trasp ViviSol Na","Mod. NC - 06/2005: Nota di consegna (cod. VNA/832/NC)","cod. VNA/832/NC",50,"4.25",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB038","Italy","Documenti di trasporto","Doc trasp ViviSol Na","Mod. PVC - 06/2005: Programma di viaggio (cod. VNA/825/PVC)","cod. VNA/825/PVC",50,"3.70",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB039","Italy","Documenti di trasporto","Doc trasp ViviSol Na","Mod. D - 11/2005: Documento di trasporto/fattura (cod. VNA/1224/D)","cod. VNA/1224/D",1,"0.06",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB040","Italy","Documenti di trasporto","Doc trasp ViviSol Na","Mod. A - 06/2005: Documento di trasporto A (cod. VNA/832/A)","cod. VNA/832/A",50,"4.50",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB041","Italy","Documenti di trasporto","Doc trasp ViviSol Na","Mod. G - 06/2005: Scheda accompagnatoria per tentata vendita (cod. VNA/825/G)","cod. VNA/825/G",50,"3.40",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB042","Italy","Documenti di trasporto","Doc trasp ViviSol Sila","Mod. NC - 06/2005: Nota di consegna (cod. VSI/832/NC)","cod. VSI/832/NC",50,"4.25",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB043","Italy","Documenti di trasporto","Doc trasp ViviSol Sila","Mod. PVC - 06/2005: Programma di viaggio (cod. VSI/825/PVC)","cod. VSI/825/PVC",50,"3.70",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB044","Italy","Documenti di trasporto","Doc trasp ViviSol Sila","Mod. D - 11/2005: Documento di trasporto/fattura (cod. VSI/1224/D)","cod. VSI/1224/D",1,"0.06",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB045","Italy","Documenti di trasporto","Doc trasp ViviSol Sila","Mod. A - 06/2005: Documento di trasporto A (cod. VSI/832/A)","cod. VSI/832/A",50,"4.50",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB046","Italy","Documenti di trasporto","Doc trasp ViviSol Sila","Mod. G - 06/2005: Scheda accompagnatoria per tentata vendita (cod. VSI/825/G)","cod. VSI/825/G",50,"3.40",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB047","Italy","Documenti di trasporto","Doc trasp ViviSol srl","Mod. NC - 06/2005: Bollettario da 50 note di consegna (cod. VIV/832/NC)","cod. VIV/832/NC",1,"4.25",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB048","Italy","Documenti di trasporto","Doc trasp ViviSol srl","Mod. PVC - 06/2005: Bollettario da 50 programmi di viaggio (cod. VIV/825/PVC)","cod. VIV/825/PVC",1,"3.70",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB049","Italy","Documenti di trasporto","Doc trasp ViviSol srl","Mod. D - 11/2005: Scatola da 500 documenti di trasporto/fattura (cod. VIV/1224/D)","cod. VIV/1224/D",1,"30.00",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB050","Italy","Documenti di trasporto","Doc trasp ViviSol srl","Mod. A - 06/2005: Bollettario da 50 documenti di trasporto A (cod. VIV/832/A)","cod. VIV/832/A",1,"4.50",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB051","Italy","Documenti di trasporto","Doc trasp ViviSol srl","Mod. G - 06/2005: Bollettario da 50 schede accompagnatorie per tentata vendita (cod. VIV/825/G)","cod. VIV/825/G",1,"3.40",,"FALSO","FALSO","CLI","N010","FALSO","FALSO"
"PUB052","Italy","Documenti di trasporto","Doc trasp ViviSol Umbria","Mod. NC - 06/2005: Nota di consegna (cod. VU/832/NC)","cod. VU/832/NC",50,"4.25",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB053","Italy","Documenti di trasporto","Doc trasp ViviSol Umbria","Mod. PVC - 06/2005: Programma di viaggio (cod. VU/825/PVC)","cod. VU/825/PVC",50,"3.70",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB054","Italy","Documenti di trasporto","Doc trasp ViviSol Umbria","Mod. D - 11/2005: Documento di trasporto/fattura (cod. VU/1224/D)","cod. VU/1224/D",1,"0.06",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB055","Italy","Documenti di trasporto","Doc trasp ViviSol Umbria","Mod. A - 06/2005: Documento di trasporto A (cod. VU/832/A)","cod. VU/832/A",50,"4.50",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB056","Italy","Documenti di trasporto","Doc trasp ViviSol Umbria","Mod. G - 06/2005: Scheda accompagnatoria per tentata vendita (cod. VU/825/G)","cod. VU/825/G",50,"3.40",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB057","Italy","Moduli","Moduli OTD","Servizio OTD: domanda per la consegna di apparecchiature per Vivisol srl Mod. NR.001.DIVI.2/D Novembre 2005","Domanda per app. OTD (30 moduli) - VIVISOL srl",30,"5.18","Servizio-OTD_domanda-per-la-consegna-di-apparecchiature-per-Vivisol.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB058","Italy","Moduli","Moduli OTD","Servizio OTD: notifica di ritiro apparecchiature per sospensione utilizzo per tutte le unità Mod. NR.002.DIVI.1/B Gennaio 2006","Domanda cessaz. OTD (20 moduli)",20,"6.18","Servizio-OTD_notifica-di-ritiro-apparecchiature-per-sospensione-utilizzo-per-tutte-le-unita.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB060","Italy","Moduli","Moduli VTD","Servizio di ventiloterapia domiciliare - Scheda di attivazione paziente Per VIVISOL srl - Mod. NR.012.DIVI.1/B Luglio 2005","Scheda attivazione paziente VTD VIVISOL srl",80,"5.51","Servizio-di-ventiloterapia-domiciliare-Scheda-di-attivazione-paziente-per-VIVISOL.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB061","Italy","Moduli","Moduli VTD","Servizio di ventiloterapia domiciliare - Scheda di attivazione paziente Per VIVISOL NAPOLI - Mod. NR.012.DIVI.2/B Luglio 2005","Scheda attivazione paziente VTD VIVISOL Napoli srl",30,"5.51","Servizio-di-ventiloterapia-domiciliare-Scheda-di-attivazione-paziente-per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB062","Italy","Moduli","Moduli VTD","Servizio di ventiloterapia domiciliare - Scheda di attivazione paziente per VIVISOL CALABRIA - Mod. NR.012.DIVI.3/B Luglio 2005","Scheda attivazione paziente VTD VIVISOL Calabria srl",30,"5.51","Servizio-di-ventiloterapia-domiciliare-Scheda-di-attivazione-paziente-per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB064","Italy","Moduli","Moduli VTD","Servizio di ventiloterapia domiciliare - Scheda di attivazione paziente Per VIVISOL SILARUS - Mod. NR.012.DIVI.5/B Luglio 2005","Scheda attivazione paziente VTD VIVISOL Silarus srl",30,"5.51","Servizio-di-ventiloterapia-domiciliare-Scheda-di-attivazione-paziente-per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB065","Italy","Moduli","Moduli VTD","Servizio di ventiloterapia domiciliare - Scheda di attivazione paziente Per VIVISOL UMBRIA ( blocco da 30 Moduli ) Mod. NR.012.DIVI.6/B Luglio 2005","Scheda attivazione paziente VTD VIVISOL Umbria srl",,"5.51","Servizio-di-ventiloterapia-domiciliare-Scheda-di-attivazione-paziente-per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB066","Italy","Moduli","Altri moduli","Dossier ventiloterapia Modulo disattivazione servizio ventiloterapia Per TUTTI ( blocco da 30 moduli ) Mod.NR.012.DIVI.14/B Luglio 2005","Modulo disattivazione servizio di ventiloterapia",,"5.51","Dossier-ventiloterapia-Modulo-disattivazione-servizio-ventiloterapia-Per-TUTTI.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB067","Italy","Moduli","Moduli OTD","Servizio di Ossigeno terapia domiciliare Domanda per la consegna di apparecchiature per Vivisol UMBRIA  Mod. NR.001.DIVI.2/C Novembre 2005","Domanda per app. OTD (30 moduli) - VIVISOL Umbria",30,"5.18","Servizio-di-Ossigeno-terapia-domiciliare-Domanda-per-la-consegna-di-apparecchiature.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB068","Italy","Moduli","Moduli OTD","Servizio di Ossigeno terapia domiciliare Domanda per la consegna di apparecchiature ( blocco da 30 moduli ) Per Vivisol NAPOLI  Mod. NR.001.DIVI.2/C Novembre 2005","Domanda per app. OTD (30 moduli) - VIVISOL Napoli",,"5.18","Servizio-di-Ossigeno-terapia-domiciliare-Domanda-per-la-consegna-di-apparecchiature.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB076","Italy","Moduli","Moduli OTD","Servizio di Ossigeno terapia domiciliare Domanda per la consegna di apparecchiature ( blocco da 30 moduli ) Per Vivisol silarus  Mod. NR.001.DIVI.2/C Novembre 2005","Domanda per app. OTD (30 moduli) - VIVISOL Silarus",,"5.18","Servizio-di-Ossigeno-terapia-domiciliare-Domanda-per-la-consegna-di-apparecchiature.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB077","Italy","Moduli","Moduli OTD","Servizio di Ossigeno terapia domiciliare Domanda per la consegna di apparecchiature ( blocco da 30 moduli ) Per Vivisol CALABRIA  Mod. NR.001.DIVI.2/C Novembre 2005","Domanda per app. OTD (30 moduli) - VIVISOL Calabria",,"5.18","Servizio-di-Ossigeno-terapia-domiciliare-Domanda-per-la-consegna-di-apparecchiature.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB079","Italy","Moduli","Attivazione ViviSol","Servizio gestione ausili sanitari Modulo attivazione paziente. Per VIVISOL SrL - Mod. NR.013.DIVI.1/B Gennaio 2006","Blocco attivazione paziente per VIVISOL srl",30,"5.52","Servizio-gestione-ausili-sanitari-Modulo-attivazione-paziente.-Per-VIVISOL.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB080","Italy","Moduli","Attivazione ViviSol","Servizio gestione ausili sanitari Modulo attivazione paziente. Per VIVISOL NAPOLI - Mod. NR.013.DIVI.1/B Gennaio 2006","Blocco attivazione paziente per VIVISOL Napoli",30,"5.52","Servizio-gestione-ausili-sanitari-Modulo-attivazione-paziente.-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB081","Italy","Moduli","Attivazione ViviSol","Servizio gestione ausili sanitari Modulo attivazione paziente. Per VIVISOL SILARUS ( blocco da 30 moduli )  Mod. NR.013.DIVI.1/B Gennaio 2006","Blocco attivazione paziente per VIVISOL Silarusi",,"5.52","Servizio-gestione-ausili-sanitari-Modulo-attivazione-paziente.-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB082","Italy","Moduli","Attivazione ViviSol","Servizio gestione ausili sanitari Modulo attivazione paziente. Per VIVISOL UMBRIA ( blocco da 30 moduli )  Mod. NR.013.DIVI.1/B Gennaio 2006","Blocco attivazione paziente per VIVISOL Umbria",,"5.52","Servizio-gestione-ausili-sanitari-Modulo-attivazione-paziente.-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB084","Italy","Moduli","Attivazione ViviSol","Servizio gestione ausili sanitari Modulo attivazione paziente. Per VIVISOL CALABRIA ( blocco da 30 moduli )  Mod. NR.013.DIVI.1/B Gennaio 2006","Blocco attivazione paziente per VIVISOL Calabria",,"5.52","Servizio-gestione-ausili-sanitari-Modulo-attivazione-paziente.-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB085","Italy","Moduli","Altri moduli","Servizio gestione ausili sanitari - Avviso Mancata consegna ( blocco da 30 moduli )  Per TUTTI - Mod. NR.013.DIVI.2/B Gennaio 2006","Blocco avviso di mancata consegna",,"5.52","Servizio-gestione-ausili-sanitari---Avviso-Mancata-consegna-per-TUTT.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB086","Italy","Moduli","Attivazione NAD","Servizio Nutrizione Artificiale Domiciliare ( NAD ) Modulo attivazione paziente ( blocco da 30 moduli ) Per VIVISOL SrL - Mod. NR.003.DIVI.1/C Gennaio 2006","Blocco attivazione paziente servizo NAD per VIV srl",,"5.52","Servizio-Nutrizione-Artificiale-Domiciliare-(-NAD-)-Modulo-attivazione-paziente-Per-VIVISOL.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB087","Italy","Moduli","Attivazione NAD","Servizio Nutrizione Artificiale Domiciliare ( NAD ) Modulo attivazione paziente (blocco da 30 fogli) Per VIVISOL NAPOLI - Mod. NR.003.DIVI.1/C Gennaio 2006","Blocco attivazione paziente servizo NAD per VIV NA",,"5.52","Servizio-Nutrizione-Artificiale-Domiciliare-(-NAD-)-Modulo-attivazione-paziente-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB088","Italy","Moduli","Attivazione NAD","Servizio Nutrizione Artificiale Domiciliare ( NAD ) Modulo attivazione paziente ( blocco da 30 moduli ) Per VIVISOL SILARUS - Mod. NR.003.DIVI.1/C Gennaio 2006","Blocco attivazione paziente servizo NAD per VIV Sil.",,"5.52","Servizio-Nutrizione-Artificiale-Domiciliare-(-NAD-)-Modulo-attivazione-paziente-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB089","Italy","Moduli","Attivazione NAD","Servizio Nutrizione Artificiale Domiciliare ( NAD ) Modulo attivazione paziente ( blocco da 30 moduli ) Per VIVISOL UMBRIA - Mod. NR.003.DIVI.1/C Gennaio 2006","Blocco attivazione paziente servizo NAD per VIV Umb.",,"5.52","Servizio-Nutrizione-Artificiale-Domiciliare-(-NAD-)-Modulo-attivazione-paziente-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB091","Italy","Moduli","Attivazione NAD","Servizio Nutrizione Artificiale Domiciliare ( NAD ) Modulo attivazione paziente (blocco da 30 moduli ) Per VIVISOL CALABRIA - Mod. NR.003.DIVI.1/C Gennaio 2006","Blocco attivazione paziente servizo NAD per VIV Cal.",,"5.52","Servizio-Nutrizione-Artificiale-Domiciliare-(-NAD-)-Modulo-attivazione-paziente-Per-VIVISOL.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB092","Italy","Moduli","Attivazione NAD","Servizio Nutrizione Artificiale ( NAD ) - Modulo di disattivazione paziente ( blocco da 30 moduli ) Per TUTTI - Mod. NR.003.DIVI.2/C Gennaio 2006","Blocco disattivazione paziente servizo NAD",,"5.52","Servizio-Nutrizione-Artificiale-(-NAD-)---Modulo-di-disattivazione-paziente-Per-TUTTI.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB093","Italy","Moduli","Attivazione NAD","Servizio di Ventiloterapia Domiciliare Rapporto di intervento tecnico ( blocco da 30 moduli ) Per TUTTI - Mod. NR.008.DIVI.2/C Ottobre 2005","Blocco servizio Ventiloterapia per intervento tecnico",,"6.20","Servizio-di-Ventiloterapia-Domiciliare-Rapporto-di-intervento-tecnico-per-TUTTi.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB094","Italy","Moduli","Altri moduli","Servizio di Ossigeno terapia Domiciliare - Servizio di Nutrizione Atificiale Domiciliare Rapporto di intervento tecnico  ( blocco da 30 moduli ) Per TUTTI - Mod. NR.008.DIVI.3/B Ottobre 2005","Blocco servizio NAD per intervento tecnico",,"6.20","Servizio-di-Ossigeno-terapia-Domiciliare---Servizio-di-Nutrizione-Atificiale-Domiciliare-Rapporto-di-intervento-tecnico.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB095","Italy","Moduli","Altri moduli","Servizio Gestione presidi antidecubito - Scheda attivazione, disattivazione e manutenzione per Vivisol SrL - Mod.NR.013.DIVI.3/x","Servizio Gestione presidi antidecubito",30,"5.52","Servizio-Gestione-presidi-antidecubito---Scheda-attivazione,-disattivazione-e-manutenzione-per-Vivisol-SrL.jpg","FALSO","FALSO","SMR","N010","FALSO","FALSO"
"PUB096","Italy","Moduli","Altri moduli","SOL/21297/TE.1 ONEIL","SOL/21297/TE.1 ONEIL",10000,"780.00",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB097","Italy","Moduli","Altri moduli","SOL/21297/TE.1 INTERMEC","SOL/21297/TE.1 INTERMEC",10000,"780.00",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB098","Italy","Moduli","Altri moduli","SOL/10125/TC RAMSES","SOL/10125/TC RAMSES",10000,"780.00",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB099","Italy","Pubblicazioni","Pubblicazioni SOL","Lavorare in sicurezza","Lavorare in sicurezza",1,"17","Lavorare-in-sicurezza.jpg","FALSO","FALSO","SMP","N010","FALSO","FALSO"
"PUB100","Italy","Pubblicazioni","Pubblicazioni SOL","CD ""Movimentazione di bombole di gas""","CD ""Movimentazione di bombole di gas""",1,"5",,"FALSO","FALSO","SMP","N010","FALSO","FALSO"
